,Authors,Title,Source title,Year,Affiliations,Authors with affiliations,Author Keywords
0,Lei R.; Chen L.;,Adaptive neural network fault-tolerant control and residual vibration suppression for flexible-arm space robot with attitude-controlled base; [姿态受控柔性臂空间机器人的自适应神经网络容错控制及残振抑制],Zhendong yu Chongji/Journal of Vibration and Shock,2020,"School of Mechanical Engineering and Automation, Fuzhou University, Fuzhou, 350116, China","Lei R., School of Mechanical Engineering and Automation, Fuzhou University, Fuzhou, 350116, China; Chen L., School of Mechanical Engineering and Automation, Fuzhou University, Fuzhou, 350116, China;",Fault-tolerant control; Flexible arm; Singular perturbation theory; Space robot; Vibration suppression
1,Zhang Y.; Hu C.; Lyu B.; Li H.; Ying Z.; Wang L.; Deng A.; Luo X.; Gao Q.; Chen J.; Du J.; Shen P.; Zhang Y.; Shi Z.;,Tunable Cherenkov Radiation of Phonon Polaritons in Silver Nanowire/Hexagonal Boron Nitride Heterostructures,Nano Letters,2020,"Key Laboratory of Artificial Structures and Quantum Control (Ministry of Education), Shenyang National Laboratory for Materials Science, School of Physics and Astronomy, Shanghai Jiao Tong University, Shanghai, 200240, China; Collaborative Innovation Center of Advanced Microstructures, Nanjing, 210093, China; National Institute for Materials Science, 1-1 Namiki, Tsukuba, 305-0044, Japan; Department of Optical Engineering, Kongju National University, Cheonan, 31080, South Korea; Department of Physics, University of California at Berkeley, Berkeley, 94720, CA, United States; Materials Science Division, Lawrence Berkeley National Laboratory, Berkeley, 94720, CA, United States; Kavli Energy NanoSciences Institute, University of California, Berkeley and the Lawrence Berkeley National Laboratory, Berkeley, 94720, CA, United States","Zhang Y., Key Laboratory of Artificial Structures and Quantum Control (Ministry of Education), Shenyang National Laboratory for Materials Science, School of Physics and Astronomy, Shanghai Jiao Tong University, Shanghai, 200240, China, Collaborative Innovation Center of Advanced Microstructures, Nanjing, 210093, China; Hu C., Key Laboratory of Artificial Structures and Quantum Control (Ministry of Education), Shenyang National Laboratory for Materials Science, School of Physics and Astronomy, Shanghai Jiao Tong University, Shanghai, 200240, China, Collaborative Innovation Center of Advanced Microstructures, Nanjing, 210093, China; Lyu B., Key Laboratory of Artificial Structures and Quantum Control (Ministry of Education), Shenyang National Laboratory for Materials Science, School of Physics and Astronomy, Shanghai Jiao Tong University, Shanghai, 200240, China, Collaborative Innovation Center of Advanced Microstructures, Nanjing, 210093, China; Li H., Key Laboratory of Artificial Structures and Quantum Control (Ministry of Education), Shenyang National Laboratory for Materials Science, School of Physics and Astronomy, Shanghai Jiao Tong University, Shanghai, 200240, China, Collaborative Innovation Center of Advanced Microstructures, Nanjing, 210093, China; Ying Z., Key Laboratory of Artificial Structures and Quantum Control (Ministry of Education), Shenyang National Laboratory for Materials Science, School of Physics and Astronomy, Shanghai Jiao Tong University, Shanghai, 200240, China, Collaborative Innovation Center of Advanced Microstructures, Nanjing, 210093, China; Wang L., Key Laboratory of Artificial Structures and Quantum Control (Ministry of Education), Shenyang National Laboratory for Materials Science, School of Physics and Astronomy, Shanghai Jiao Tong University, Shanghai, 200240, China, Collaborative Innovation Center of Advanced Microstructures, Nanjing, 210093, China; Deng A., Key Laboratory of Artificial Structures and Quantum Control (Ministry of Education), Shenyang National Laboratory for Materials Science, School of Physics and Astronomy, Shanghai Jiao Tong University, Shanghai, 200240, China, Collaborative Innovation Center of Advanced Microstructures, Nanjing, 210093, China; Luo X., Key Laboratory of Artificial Structures and Quantum Control (Ministry of Education), Shenyang National Laboratory for Materials Science, School of Physics and Astronomy, Shanghai Jiao Tong University, Shanghai, 200240, China, Collaborative Innovation Center of Advanced Microstructures, Nanjing, 210093, China; Gao Q., Key Laboratory of Artificial Structures and Quantum Control (Ministry of Education), Shenyang National Laboratory for Materials Science, School of Physics and Astronomy, Shanghai Jiao Tong University, Shanghai, 200240, China, Collaborative Innovation Center of Advanced Microstructures, Nanjing, 210093, China; Chen J., Key Laboratory of Artificial Structures and Quantum Control (Ministry of Education), Shenyang National Laboratory for Materials Science, School of Physics and Astronomy, Shanghai Jiao Tong University, Shanghai, 200240, China, Collaborative Innovation Center of Advanced Microstructures, Nanjing, 210093, China; Du J., Key Laboratory of Artificial Structures and Quantum Control (Ministry of Education), Shenyang National Laboratory for Materials Science, School of Physics and Astronomy, Shanghai Jiao Tong University, Shanghai, 200240, China, Collaborative Innovation Center of Advanced Microstructures, Nanjing, 210093, China; Shen P., Key Laboratory of Artificial Structures and Quantum Control (Ministry of Education), Shenyang National Laboratory for Materials Science, School of Physics and Astronomy, Shanghai Jiao Tong University, Shanghai, 200240, China, Collaborative Innovation Center of Advanced Microstructures, Nanjing, 210093, China; Zhang Y., Key Laboratory of Artificial Structures and Quantum Control (Ministry of Education), Shenyang National Laboratory for Materials Science, School of Physics and Astronomy, Shanghai Jiao Tong University, Shanghai, 200240, China, Collaborative Innovation Center of Advanced Microstructures, Nanjing, 210093, China; Shi Z., Key Laboratory of Artificial Structures and Quantum Control (Ministry of Education), Shenyang National Laboratory for Materials Science, School of Physics and Astronomy, Shanghai Jiao Tong University, Shanghai, 200240, China, Collaborative Innovation Center of Advanced Microstructures, Nanjing, 210093, China;",2D materials; Cherenkov radiation; infrared nanoscopy; phonon polaritons
2,Ma Z.; Xiang X.; Ren Y.;,Quantitative decision-making model for building facility maintenance strategies based on the RCM method; [基于RCM方法的建筑设备维护策略定量化决策模型],Qinghua Daxue Xuebao/Journal of Tsinghua University,2020,"Department of Civil Engineering, Tsinghua University, Beijing, 100084, China","Ma Z., Department of Civil Engineering, Tsinghua University, Beijing, 100084, China; Xiang X., Department of Civil Engineering, Tsinghua University, Beijing, 100084, China; Ren Y., Department of Civil Engineering, Tsinghua University, Beijing, 100084, China;",Building facility maintenance; Decision-making model; Monte Carlo simulations; Reliability centered maintenance (RCM)
3,Gao Y.-F.; He L.; Jiang Z.; Sun J.-P.; Ma Q.-L.;,Unidirectional helical edge states for all-dielectric topological photonic crystals,Photonic Network Communications,2020,"School of Mechanical Engineering, Jiangsu University, Zhenjiang, 212013, Jiangsu, China","Gao Y.-F., School of Mechanical Engineering, Jiangsu University, Zhenjiang, 212013, Jiangsu, China; He L., School of Mechanical Engineering, Jiangsu University, Zhenjiang, 212013, Jiangsu, China; Jiang Z., School of Mechanical Engineering, Jiangsu University, Zhenjiang, 212013, Jiangsu, China; Sun J.-P., School of Mechanical Engineering, Jiangsu University, Zhenjiang, 212013, Jiangsu, China; Ma Q.-L., School of Mechanical Engineering, Jiangsu University, Zhenjiang, 212013, Jiangsu, China;",Nontrivial; Pseudo-time-reversal symmetry; Quantum Hall effect; Topological photonic crystal; Trivial
4,Shen C.;,The asymptotic limits of Riemann solutions for the isentropic drift-flux model of compressible two-phase flows,Mathematical Methods in the Applied Sciences,2020,"School of Mathematics and Statistics Science, Ludong University, Yantai, China","Shen C., School of Mathematics and Statistics Science, Ludong University, Yantai, China;",delta shock wave; drift-flux model; Riemann problem; two-phase flow; vacuum state
5,Pan L.; Wu X.; Diao W.; Li L.;,Recent progress of positron radionuclide labeled small molecule inhibitors of prostate specific membrane antigen for PET/CT imaging of prostate cancer,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi,2020,"Department of Nuclear Medicine, Laboratory of Clinical Nuclear Medicine, West China Hospital, Sichuan University, Chengdu, 610041, China","Pan L., Department of Nuclear Medicine, Laboratory of Clinical Nuclear Medicine, West China Hospital, Sichuan University, Chengdu, 610041, China; Wu X., Department of Nuclear Medicine, Laboratory of Clinical Nuclear Medicine, West China Hospital, Sichuan University, Chengdu, 610041, China; Diao W., Department of Nuclear Medicine, Laboratory of Clinical Nuclear Medicine, West China Hospital, Sichuan University, Chengdu, 610041, China; Li L., Department of Nuclear Medicine, Laboratory of Clinical Nuclear Medicine, West China Hospital, Sichuan University, Chengdu, 610041, China;",positron emission tomography/computed tomography; prostate cancer; prostate-specific membrane antigen; radiopharmaceuticals
6, Kawaguchi M.;,Implementing Chiral Three-Body Forces in Terms of Medium-Dependent Two-Body Forces,Frontiers in Physics,2020,"Department of Physics and Astronomy, Texas AM University, College Station, TX, United States; Cyclotron Institute, Texas AM University, College Station, TX, United States; Department of Physics, Nagoya University, Nagoya, Japan; Department of Physics, Center for Particle Physics and Field Theory, Fudan University, Shanghai, China; Physik-Department, Technische Universität München, Garching, Germany"," Kawaguchi M., Department of Physics, Nagoya University, Nagoya, Japan, Department of Physics, Center for Particle Physics and Field Theory, Fudan University, Shanghai, China;",chiral effective field theory; equation of state; nuclear matter; nuclear reaction theory; three-body forces
7,Baghernejad M.; Yang Y.; Zeng B.-F.; Li X.; Liu J.; Shi J.; Hong W.;,Constructive Quantum Interference in Single-Molecule Benzodichalcogenophene Junctions,Chemistry - A European Journal,2020,"State Key Laboratory of Physical Chemistry of Solid Surfaces, Pen-Tung Sah Institute of Micro-Nano Science and Technology, College of Chemistry and Chemical Engineering, iChEM, Xiamen University, Xiamen, 361005, China; Department of Laser Physics, Women Faculty of Science, The University of Babylon, Hilla, 51001, Iraq; Department of Chemistry and Biochemistry, University of Bern, Freiestrasse 3, Bern, 3012, Switzerland; Department of Physics, University of Lancaster, Lancaster, LA1 4YB, United Kingdom","Baghernejad M., State Key Laboratory of Physical Chemistry of Solid Surfaces, Pen-Tung Sah Institute of Micro-Nano Science and Technology, College of Chemistry and Chemical Engineering, iChEM, Xiamen University, Xiamen, 361005, China, Department of Chemistry and Biochemistry, University of Bern, Freiestrasse 3, Bern, 3012, Switzerland; Yang Y., State Key Laboratory of Physical Chemistry of Solid Surfaces, Pen-Tung Sah Institute of Micro-Nano Science and Technology, College of Chemistry and Chemical Engineering, iChEM, Xiamen University, Xiamen, 361005, China; Zeng B.-F., State Key Laboratory of Physical Chemistry of Solid Surfaces, Pen-Tung Sah Institute of Micro-Nano Science and Technology, College of Chemistry and Chemical Engineering, iChEM, Xiamen University, Xiamen, 361005, China; Li X., State Key Laboratory of Physical Chemistry of Solid Surfaces, Pen-Tung Sah Institute of Micro-Nano Science and Technology, College of Chemistry and Chemical Engineering, iChEM, Xiamen University, Xiamen, 361005, China; Liu J., State Key Laboratory of Physical Chemistry of Solid Surfaces, Pen-Tung Sah Institute of Micro-Nano Science and Technology, College of Chemistry and Chemical Engineering, iChEM, Xiamen University, Xiamen, 361005, China; Shi J., State Key Laboratory of Physical Chemistry of Solid Surfaces, Pen-Tung Sah Institute of Micro-Nano Science and Technology, College of Chemistry and Chemical Engineering, iChEM, Xiamen University, Xiamen, 361005, China; Hong W., State Key Laboratory of Physical Chemistry of Solid Surfaces, Pen-Tung Sah Institute of Micro-Nano Science and Technology, College of Chemistry and Chemical Engineering, iChEM, Xiamen University, Xiamen, 361005, China, Department of Chemistry and Biochemistry, University of Bern, Freiestrasse 3, Bern, 3012, Switzerland;",density functional calculations; perturbation theory; quantum interference; scanning tunneling microscopy; single-molecule conductors
8,Liu S.; Lin X.; Shi X.; Fang L.; Huo L.; Shang F.; Wu X.; Guo R.; Ding H.; Zhang R.; Duan H.; Ding J.; Xing H.; Zhao X.;,Myocardial tissue and metabolism characterization in men with alcohol consumption by cardiovascular magnetic resonance and 11C-acetate PET/CT,Journal of Cardiovascular Magnetic Resonance,2020,"Center for Biomedical Imaging Research, Department of Biomedical Engineering, Tsinghua University School of Medicine, Haidian District, Beijing, 100084, China; Department of Cardiology, Peking Union Medical College Hospital, Chinese Academy of Medical Science, Beijing, China; Department of Nuclear Medicine, Peking Union Medical College Hospital, Chinese Academy of Medical Science, 1# Shuaifuyuan, Dongcheng District, Beijing, 100730, China; Beijing Key Laboratory of Molecular Targeted Diagnosis and Therapy in Nuclear Medicine, Beijing, China; Department of Biomedical Engineering, Beijing Institute of Technology School of Life Science, Beijing, China; Turku Pet Center, Turku University Hospital and University of Turku, Turku, Finland; Department of Neurology, Beijing Tiantan Hospital, Capital Medical University, Beijing, China; Department of Medical Engineering, First Affiliated Hospital of Pla General Hospital, Beijing, China","Liu S., Center for Biomedical Imaging Research, Department of Biomedical Engineering, Tsinghua University School of Medicine, Haidian District, Beijing, 100084, China; Lin X., Department of Cardiology, Peking Union Medical College Hospital, Chinese Academy of Medical Science, Beijing, China; Shi X., Department of Nuclear Medicine, Peking Union Medical College Hospital, Chinese Academy of Medical Science, 1# Shuaifuyuan, Dongcheng District, Beijing, 100730, China, Beijing Key Laboratory of Molecular Targeted Diagnosis and Therapy in Nuclear Medicine, Beijing, China; Fang L., Department of Cardiology, Peking Union Medical College Hospital, Chinese Academy of Medical Science, Beijing, China; Huo L., Department of Nuclear Medicine, Peking Union Medical College Hospital, Chinese Academy of Medical Science, 1# Shuaifuyuan, Dongcheng District, Beijing, 100730, China, Beijing Key Laboratory of Molecular Targeted Diagnosis and Therapy in Nuclear Medicine, Beijing, China; Shang F., Department of Biomedical Engineering, Beijing Institute of Technology School of Life Science, Beijing, China; Wu X., Department of Biomedical Engineering, Beijing Institute of Technology School of Life Science, Beijing, China; Guo R., Center for Biomedical Imaging Research, Department of Biomedical Engineering, Tsinghua University School of Medicine, Haidian District, Beijing, 100084, China; Ding H., Center for Biomedical Imaging Research, Department of Biomedical Engineering, Tsinghua University School of Medicine, Haidian District, Beijing, 100084, China; Zhang R., Department of Neurology, Beijing Tiantan Hospital, Capital Medical University, Beijing, China; Duan H., Department of Medical Engineering, First Affiliated Hospital of Pla General Hospital, Beijing, China; Ding J., Department of Nuclear Medicine, Peking Union Medical College Hospital, Chinese Academy of Medical Science, 1# Shuaifuyuan, Dongcheng District, Beijing, 100730, China, Beijing Key Laboratory of Molecular Targeted Diagnosis and Therapy in Nuclear Medicine, Beijing, China; Xing H., Department of Nuclear Medicine, Peking Union Medical College Hospital, Chinese Academy of Medical Science, 1# Shuaifuyuan, Dongcheng District, Beijing, 100730, China, Beijing Key Laboratory of Molecular Targeted Diagnosis and Therapy in Nuclear Medicine, Beijing, China; Zhao X., Center for Biomedical Imaging Research, Department of Biomedical Engineering, Tsinghua University School of Medicine, Haidian District, Beijing, 100084, China;",Alcoholic cardiomyopathy; Magnetic resonance imaging; Oxidative metabolism; Positron emission tomography; T1 mapping
9,Wang Y.; Xu G.; Deng S.; Wu Q.; Meng Z.; Huang X.; Bi L.; Yang Z.; Lu R.;,Lithium and sodium decorated graphdiyne as a candidate for hydrogen storage: First-principles and grand canonical Monte Carlo study,Applied Surface Science,2020,"New Energy Technology Engineering Laboratory of Jiangsu Province, Information Physics Research Center, School of Science, Nanjing University of Posts and Telecommunications, Nanjing, 210023, China; Department of Applied Physics, Nanjing University of Science and Technology, Nanjing, 210094, China","Wang Y., New Energy Technology Engineering Laboratory of Jiangsu Province, Information Physics Research Center, School of Science, Nanjing University of Posts and Telecommunications, Nanjing, 210023, China, Department of Applied Physics, Nanjing University of Science and Technology, Nanjing, 210094, China; Xu G., Department of Applied Physics, Nanjing University of Science and Technology, Nanjing, 210094, China; Deng S., New Energy Technology Engineering Laboratory of Jiangsu Province, Information Physics Research Center, School of Science, Nanjing University of Posts and Telecommunications, Nanjing, 210023, China; Wu Q., New Energy Technology Engineering Laboratory of Jiangsu Province, Information Physics Research Center, School of Science, Nanjing University of Posts and Telecommunications, Nanjing, 210023, China; Meng Z., New Energy Technology Engineering Laboratory of Jiangsu Province, Information Physics Research Center, School of Science, Nanjing University of Posts and Telecommunications, Nanjing, 210023, China; Huang X., New Energy Technology Engineering Laboratory of Jiangsu Province, Information Physics Research Center, School of Science, Nanjing University of Posts and Telecommunications, Nanjing, 210023, China; Bi L., New Energy Technology Engineering Laboratory of Jiangsu Province, Information Physics Research Center, School of Science, Nanjing University of Posts and Telecommunications, Nanjing, 210023, China; Yang Z., New Energy Technology Engineering Laboratory of Jiangsu Province, Information Physics Research Center, School of Science, Nanjing University of Posts and Telecommunications, Nanjing, 210023, China; Lu R., Department of Applied Physics, Nanjing University of Science and Technology, Nanjing, 210094, China;",First-principles calculations; Grand canonical Monte Carlo simulations; Graphdiyne; Hydrogen storage
